Month,Year,Price
Jan,2009,1.3557
Feb,2009,1.43
Mar,2009,1.4105
Apr,2009,1.3214
May,2009,1.32
Jun,2009,1.32
Jul,2009,1.32
Aug,2009,1.3281
Sep,2009,1.3952
Oct,2009,1.46
Nov,2009,1.4732
Dec,2009,1.5555
Jan,2010,1.678
Feb,2010,1.5005
Mar,2010,1.2509
Apr,2010,1.1833
May,2010,1.09
Jun,2010,1.0323
Jul,2010,1.0914
Aug,2010,1.1
Sep,2010,1.16
Oct,2010,1.2181
Nov,2010,1.1085
Dec,2010,0.9662
Jan,2011,0.9181
Feb,2011,0.7705
Mar,2011,0.6926
Apr,2011,0.6745
May,2011,0.6981
Jun,2011,0.79
Jul,2011,0.8435
Aug,2011,0.8787
Sep,2011,1.0176
Oct,2011,1.1057
Nov,2011,1.185
Dec,2011,1.3971
Jan,2012,1.709
Feb,2012,1.6281
Mar,2012,1.5573
Apr,2012,1.5425
May,2012,1.5345
Jun,2012,1.5862
Jul,2012,1.6367
Aug,2012,1.6687
Sep,2012,1.7189
Oct,2012,1.75
Nov,2012,1.7345
Dec,2012,1.745
Jan,2013,1.8727
Feb,2013,1.707
Mar,2013,1.5465
Apr,2013,1.2873
May,2013,1.15
Jun,2013,1.2845
Jul,2013,1.4045
Aug,2013,1.43
Sep,2013,1.4605
Oct,2013,1.3996
Nov,2013,1.0879
Dec,2013,1.0133
Jan,2014,1.08
Feb,2014,1.036
Mar,2014,1.0952
Apr,2014,1.1238
May,2014,1.079
Jun,2014,1.1267
Jul,2014,1.2109
Aug,2014,1.3067
Sep,2014,1.5071
Oct,2014,1.6778
Nov,2014,1.5956
Dec,2014,1.5324
Jan,2015,1.709
Feb,2015,1.6275
Mar,2015,1.5114
Apr,2015,1.4367
May,2015,1.459
Jun,2015,1.4836
Jul,2015,1.4836
Aug,2015,1.45
Sep,2015,1.4824
Oct,2015,1.5177
Nov,2015,1.47
Dec,2015,1.4977
Jan,2016,1.745
Feb,2016,1.7876
Mar,2016,1.6473
Apr,2016,1.6881
May,2016,1.4938
Jun,2016,1.3859
Jul,2016,1.39
Aug,2016,1.4487
Sep,2016,1.6814
Oct,2016,1.76
Nov,2016,1.7715
Dec,2016,1.78
Jan,2017,1.8333
Feb,2017,1.8145
Mar,2017,1.7478
Apr,2017,1.8263
May,2017,1.9455
Jun,2017,2.02
Jul,2017,2.025
Aug,2017,2.0883
Sep,2017,2.1575
Oct,2017,2.0191
Nov,2017,1.748
Dec,2017,1.582
Jan,2018,1.5791
Feb,2018,1.474
Mar,2018,1.3471
Apr,2018,1.2943
May,2018,1.2718
Jun,2018,1.2538
Jul,2018,1.3433
Aug,2018,1.38
Sep,2018,1.4626
Oct,2018,1.53
Nov,2018,1.4725
Dec,2018,1.4711
Jan,2019,1.7077
Feb,2019,1.792
Mar,2019,1.7375
