,Month_x,Year_x,Price_x,period,Month_y,Year_y,RTG,+/-,VWRS in millions,Date,Month_x,Year_x,Comodity_x,Price_y,Change_x,Month_y,Year_y,Comodity_y,Price,Change_y
0,Dec,2014,1.5324,2014Dec,Dec,2014,9.911538461538461,0.009230769230769225,16.561153846153843,2014-12-01,Dec,2014,Barley,123.09,0.0806,Dec,2014,Poultry,2.22,-0.039
1,Nov,2014,1.5956,2014Nov,Nov,2014,10.668965517241379,-0.009655172413793104,18.468620689655168,2014-11-01,Nov,2014,Barley,113.91,0.0164,Nov,2014,Poultry,2.31,-0.0212
2,Oct,2014,1.6778,2014Oct,Oct,2014,10.315384615384614,0.25884615384615384,17.194230769230767,2014-10-01,Oct,2014,Barley,112.07,0.0609,Oct,2014,Poultry,2.36,0
3,Dec,2015,1.4977,2015Dec,Dec,2015,10.8125,0.010624999999999997,18.656249999999996,2015-12-01,Dec,2015,Barley,119.42,0,Dec,2015,Poultry,1.74,0.0741
4,Feb,2015,1.6275,2015Feb,Feb,2015,47.5,0.02,114.44,2015-02-01,Feb,2015,Barley,125.39,-0.0215,Feb,2015,Poultry,2.03,-0.0856
5,Jan,2015,1.709,2015Jan,Jan,2015,20.380000000000003,-0.04999999999999999,36.349000000000004,2015-01-01,Jan,2015,Barley,128.14,0.041,Jan,2015,Poultry,2.22,0
6,Nov,2015,1.47,2015Nov,Nov,2015,9.966666666666667,0.05833333333333336,17.144444444444446,2015-11-01,Nov,2015,Barley,119.42,0.0117,Nov,2015,Poultry,1.62,0.0062
7,Oct,2015,1.5177,2015Oct,Oct,2015,11.04,0.03499999999999997,18.383333333333333,2015-10-01,Oct,2015,Barley,118.04,0.0753,Oct,2015,Poultry,1.61,-0.0473
8,Dec,2016,1.78,2016Dec,Dec,2016,9.669444444444446,0.12222222222222223,17.57777777777778,2016-12-01,Dec,2016,Barley,91.86,0,Dec,2016,Poultry,1.86,0.0568
9,Nov,2016,1.7715,2016Nov,Nov,2016,10.136363636363635,-0.02045454545454545,18.231818181818184,2016-11-01,Nov,2016,Barley,91.86,0,Nov,2016,Poultry,1.76,0.1069
10,Oct,2016,1.76,2016Oct,Oct,2016,8.96470588235294,-0.09058823529411765,15.29411764705882,2016-10-01,Oct,2016,Barley,91.86,0.0257,Oct,2016,Poultry,1.59,-0.0647
11,Aug,2017,2.0883,2017Aug,Aug,2017,1.485652173913044,0.07695652173913044,2.377521739130434,2017-08-01,Aug,2017,Barley,96.45,0.0243,Aug,2017,Poultry,2.19,-0.0681
12,Dec,2017,1.5819999999999999,2017Dec,Dec,2017,8.533333333333333,-0.05433333333333333,14.887400000000003,2017-12-01,Dec,2017,Barley,119.88,0.106,Dec,2017,Poultry,1.97,0.0051
13,Feb,2017,1.8145,2017Feb,Feb,2017,45.3,-0.03,111.3,2017-02-01,Feb,2017,Barley,91.86,0,Feb,2017,Poultry,1.94,0
14,Jan,2017,1.8333,2017Jan,Jan,2017,18.154545454545456,-0.07090909090909091,33.36363636363636,2017-01-01,Jan,2017,Barley,91.86,0,Jan,2017,Poultry,1.94,0.043
15,Nov,2017,1.7480000000000002,2017Nov,Nov,2017,9.057894736842107,-0.12052631578947369,16.202894736842108,2017-11-01,Nov,2017,Barley,108.39,0.1238,Nov,2017,Poultry,1.96,-0.0101
16,Oct,2017,2.0191,2017Oct,Oct,2017,8.344827586206895,-0.04000000000000001,14.13465517241379,2017-10-01,Oct,2017,Barley,96.45,0,Oct,2017,Poultry,1.98,-0.0616
17,Aug,2018,1.38,2018Aug,Aug,2018,1.4456521739130435,0.13391304347826088,2.382565217391304,2018-08-01,Aug,2018,Barley,127.68,-0.0246,Aug,2018,Poultry,2.22,-0.1225
18,Dec,2018,1.4711,2018Dec,Dec,2018,9.965384615384615,0.08692307692307691,17.34346153846154,2018-12-01,Dec,2018,Barley,119.42,0,Dec,2018,Poultry,2.09,0.0296
19,Feb,2018,1.474,2018Feb,Feb,2018,43.1,-0.05,103.39,2018-02-01,Feb,2018,Barley,129.06,0.0604,Feb,2018,Poultry,1.98,-0.0435
20,Jan,2018,1.5791,2018Jan,Jan,2018,16.12272727272727,-0.08181818181818182,28.842454545454544,2018-01-01,Jan,2018,Barley,121.71,0.0153,Jan,2018,Poultry,2.07,0.0508
21,Nov,2018,1.4725,2018Nov,Nov,2018,9.566666666666665,0.10249999999999998,16.754166666666666,2018-11-01,Nov,2018,Barley,119.42,0,Nov,2018,Poultry,2.03,0
22,Oct,2018,1.53,2018Oct,Oct,2018,8.668749999999998,0.031875,14.575,2018-10-01,Oct,2018,Barley,119.42,0,Oct,2018,Poultry,2.03,0
23,Sep,2018,1.4626,2018Sep,Sep,2018,8.788,-0.008,15.0616,2018-09-01,Sep,2018,Barley,119.42,-0.0647,Sep,2018,Poultry,2.03,-0.0856
24,Feb,2019,1.7919999999999998,2019Feb,Feb,2019,41.1,-0.05,98.19,2019-02-01,Feb,2019,Barley,119.42,0,Feb,2019,Poultry,2.09,-0.0279
25,Jan,2019,1.7077,2019Jan,Jan,2019,20.766666666666662,0.09999999999999999,37.98333333333333,2019-01-01,Jan,2019,Barley,119.42,0,Jan,2019,Poultry,2.15,0.0287
